repo,metamodel,original
jokingarcia/Transformation_coevolution,"['jokingarcia$Transformation_coevolution$metamodels#Ecore.ecore', 'jokingarcia$Transformation_coevolution$metamodels#ATL-0.2.ecore', 'jokingarcia$Transformation_coevolution$metamodels#KM3.ecore', 'jokingarcia$Transformation_coevolution$metamodels#diff.ecore', 'jokingarcia$Transformation_coevolution$metamodels#EqualMM.ecore', 'jokingarcia$Transformation_coevolution$metamodels#Difference.ecore', 'jokingarcia$Transformation_coevolution$metamodels#TCS.ecore', 'jokingarcia$Transformation_coevolution$metamodels#match.ecore', 'jokingarcia$Transformation_coevolution$final#ATL-0.2.ecore']","['olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore', 'atlanmod$org.eclipse.atl.reactive$deprecated#org.atl.eclipse.engine#src#org#atl#eclipse#engine#resources#ATL-0.2.ecore', 'atlanmod$org.eclipse.atl.reactive$tests#org.eclipse.m2m.atl.tests#data#inputs#DSLBridge#KM3.ecore', 'radtek$rrcomssys-team-5$Executables#eclipse#plugins#org.eclipse.emf.compare.source_0.8.1.v200809170822#src#org.eclipse.emf.compare.diff_0.8.1.v200809170822#model#diff.ecore', 'atlanmod$org.eclipse.atl.reactive$usecases#org.eclipse.m2m.atl.research.aml#plugins#org.eclipse.m2m.atl.research.aml.engine#Metamodels#EqualMM.ecore', 'radtek$rrcomssys-team-5$Executables#eclipse#plugins#org.eclipse.emf.compare.source_0.8.1.v200809170822#src#org.eclipse.emf.compare.diff_0.8.1.v200809170822#model#diff.ecore', 'atlanmod$org.eclipse.atl.reactive$deprecated#org.atl.eclipse.km3#src#org#atl#eclipse#km3#resources#TCS.ecore', 'radtek$rrcomssys-team-5$Executables#eclipse#plugins#org.eclipse.emf.compare.source_0.8.1.v200809170822#src#org.eclipse.emf.compare.match_0.8.1.v200809170822#model#match.ecore', 'atlanmod$org.eclipse.atl.reactive$deprecated#org.atl.eclipse.engine#src#org#atl#eclipse#engine#resources#ATL-0.2.ecore']"
Doelia/M2-modeles,"['Doelia$M2-modeles$eclipse#1013f_TP2#model#maps.ecore', 'Doelia$M2-modeles$eclipse#1124f_TP5#model#maps.ecore', 'Doelia$M2-modeles$eclipse#1110f_TP3_TP4#src#uml#impl#uml.ecore']","['Doelia$M2-modeles$eclipse#1013f_TP2#model#maps.ecore', 'Doelia$M2-modeles$eclipse#1013f_TP2#model#maps.ecore', 'creckord$org.eclipse.uml2$plugins#org.eclipse.uml2.uml#src#org#eclipse#uml2#uml#internal#impl#uml.ecore']"
AniketosEU/Security-Service-Validation-and-Verification,"['AniketosEU$Security-Service-Validation-and-Verification$CSVM-Modelling-and-Validation#src#org.activiti.designer.model#src#main#java#org#eclipse#securebpmn2#impl#securebpmn2.ecore', 'AniketosEU$Security-Service-Validation-and-Verification$CSVM-Modelling-and-Validation#src#org.activiti.designer.model#model#DI.ecore', 'AniketosEU$Security-Service-Validation-and-Verification$CSVM-Modelling-and-Validation#src#org.activiti.designer.model#src#main#java#org#eclipse#bpmn2#impl#bpmn2.ecore', 'AniketosEU$Security-Service-Validation-and-Verification$CSVM-Modelling-and-Validation#src#org.activiti.designer.model#model#SecureBPMN20.ecore', 'AniketosEU$Security-Service-Validation-and-Verification$CSVM-Modelling-and-Validation#src#org.activiti.designer.model#model#BPMN20.ecore', 'AniketosEU$Security-Service-Validation-and-Verification$CSVM-Modelling-and-Validation#src#org.activiti.designer.model#model#BPMNDI.ecore', 'AniketosEU$Security-Service-Validation-and-Verification$CSVM-Modelling-and-Validation#src#org.activiti.designer.model#src#main#resources#org#eclipse#bpmn2#impl#bpmn2.ecore', 'AniketosEU$Security-Service-Validation-and-Verification$CSVM-Modelling-and-Validation#src#org.activiti.designer.model#model#DC.ecore']","['AniketosEU$Secure-Service-Specification-and-Deployment$Service Composition Framework#org.activiti.designer.model.aniketosBPMN#model#SecureBPMN20.ecore', 'InspireTechnologies$org.eclipse.bpmn2$org.eclipse.bpmn2#model#DI.ecore', 'bbrodt$bpmn2$org.eclipse.bpmn2#src#org#eclipse#bpmn2#impl#bpmn2.ecore', 'AniketosEU$Secure-Service-Specification-and-Deployment$Service Composition Framework#org.activiti.designer.model.aniketosBPMN#model#SecureBPMN20.ecore', 'bbrodt$bpmn2$org.eclipse.bpmn2#src#org#eclipse#bpmn2#impl#bpmn2.ecore', 'InspireTechnologies$org.eclipse.bpmn2$org.eclipse.bpmn2#model#BPMNDI.ecore', 'bbrodt$bpmn2$org.eclipse.bpmn2#src#org#eclipse#bpmn2#impl#bpmn2.ecore', 'bbrodt$bpmn2$org.eclipse.bpmn2#model#DC.ecore']"
epsilonlabs/SACM-UML-Profile,['epsilonlabs$SACM-UML-Profile$emf2umlprofile#src#emf2umlprofile#transformations#flowchart.ecore'],['epsilonlabs$epsilonlabs$org.eclipse.epsilon.coverage.test.unit#models#flowchart#flowchart.ecore']
sopopoola/labviewMetamodel,['sopopoola$labviewMetamodel$labview.ecore'],['sopopoola$hawk$labview.ecore']
ferraith/setuptools-pyecore,"['ferraith$setuptools-pyecore$samples#library#library#model#library.ecore', 'ferraith$setuptools-pyecore$tests#resources#standalone#A.ecore', 'ferraith$setuptools-pyecore$tests#resources#distributed#A.ecore']","['pyecore$pyecore$examples#library.ecore', 'pyecore$pyecore$tests#xmi#xmi-tests#A.ecore', 'pyecore$pyecore$tests#xmi#xmi-tests#A.ecore']"
alxbrd/henshin,"['alxbrd$henshin$plugins#org.eclipse.emf.henshin.examples#src#org#eclipse#emf#henshin#examples#metamodelevolution#petri.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.tests#basic#testModelsCPA#injectiveMatchingOptionTest#simpleGraph.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.tests#basic#testModelsCPA#inheritedReferenceTesting#vehicles.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.examples#src#org#eclipse#emf#henshin#examples#ecore2genmodel#ecore2gen.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.examples#src#org#eclipse#emf#henshin#examples#mutualexclusion#mutualexclusion.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.examples#src#org#eclipse#emf#henshin#examples#ecore2genmodel#flowchartdsl.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.tests#basic#testModelsCPA#preventDuplicateReferencesTest#ClassModel.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.examples#src#org#eclipse#emf#henshin#examples#bank#bank.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.examples#src#org#eclipse#emf#henshin#examples#ecore2rdb#CarRental.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.text.transformation.tests#testCases#grid-full_nestedUnits#grid.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.examples#src#org#eclipse#emf#henshin#examples#bankmap#bankmap.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.examples#src#org#eclipse#emf#henshin#examples#combpattern#grid.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.examples#src#org#eclipse#emf#henshin#examples#gossipinggirls#gossipinggirls.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.text.examples#bankModel#bank.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.tests#basic#testModelsCPA#inheritanceTesting#vehicleAndTools.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.examples#src#org#eclipse#emf#henshin#examples#ecore2rdb#rdb.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.examples#src#org#eclipse#emf#henshin#examples#wrap#mme#petri.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.text.transformation.tests#testCases#grid-full#grid.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.examples#src#org#eclipse#emf#henshin#examples#metamodelevolution#backup#petri.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.examples#src#org#eclipse#emf#henshin#examples#java2statemachine#java.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.text.transformation.tests#testCases#bank#bank.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.examples#src#org#eclipse#emf#henshin#examples#movies#movies.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.examples#src#org#eclipse#emf#henshin#examples#ecore2uml#flowchartdsl.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.tests#basic#testModelsCPA#danglingOptionTest#simpleGraph.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.text.transformation.tests#testCases#movies#movies.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.examples#src#org#eclipse#emf#henshin#examples#diningphils#diningphils.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.model#model#henshin.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.examples#giraph#movies#movies.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.examples#src#org#eclipse#emf#henshin#examples#probbroadcast#probbroadcast.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.examples#src#org#eclipse#emf#henshin#examples#sierpinski#sierpinski.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.examples#src#org#eclipse#emf#henshin#examples#simpleclassmodelingrefactoring#ClassModel.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.text.examples#sort#ecore.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.trace#model#trace.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.wrap#model#wrap.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.tests#src#org#eclipse#emf#henshin#tests#giraph#sierpinski.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.statespace#model#statespace.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.cpa#model#criticalPair.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.examples#src#org#eclipse#emf#henshin#examples#aggregation#family.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.text#model#generated#Henshin_text.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.examples#src#org#eclipse#emf#henshin#examples#java2statemachine#statemachine.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.tests#model#testmodel.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.text.transformation.tests#testCases#mutualexclusion#mutualexclusion.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.tests#model#languagedefinition#uml.ecore']","['alxbrd$henshin$plugins#org.eclipse.emf.henshin.examples#src#org#eclipse#emf#henshin#examples#metamodelevolution#backup#petri.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.tests#basic#testModelsCPA#injectiveMatchingOptionTest#simpleGraph.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.tests#basic#testModelsCPA#inheritedReferenceTesting#vehicles.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.examples#src#org#eclipse#emf#henshin#examples#ecore2genmodel#ecore2gen.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.examples#src#org#eclipse#emf#henshin#examples#mutualexclusion#mutualexclusion.ecore', 'mohrndorf$henshin$plugins#org.eclipse.emf.henshin.examples#src#org#eclipse#emf#henshin#examples#ecore2uml#flowchartdsl.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.tests#basic#testModelsCPA#preventDuplicateReferencesTest#ClassModel.ecore', 'mohrndorf$henshin$plugins#org.eclipse.emf.henshin.examples#src#org#eclipse#emf#henshin#examples#bank#bank.ecore', 'mohrndorf$henshin$plugins#org.eclipse.emf.henshin.examples#src#org#eclipse#emf#henshin#examples#ecore2rdb#CarRental.ecore', 'b-studios$henshin$plugins#org.eclipse.emf.henshin.examples#src#org#eclipse#emf#henshin#examples#combpattern#grid.ecore', 'mohrndorf$henshin$plugins#org.eclipse.emf.henshin.examples#src#org#eclipse#emf#henshin#examples#bankmap#bankmap.ecore', 'b-studios$henshin$plugins#org.eclipse.emf.henshin.examples#src#org#eclipse#emf#henshin#examples#combpattern#grid.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.examples#src#org#eclipse#emf#henshin#examples#gossipinggirls#gossipinggirls.ecore', 'mohrndorf$henshin$plugins#org.eclipse.emf.henshin.examples#src#org#eclipse#emf#henshin#examples#bank#bank.ecore', 'mohrndorf$henshin$plugins#org.eclipse.emf.henshin.tests#basic#testModelsCPA#inheritanceTesting#vehicleAndTools.ecore', 'mohrndorf$henshin$plugins#org.eclipse.emf.henshin.examples#src#org#eclipse#emf#henshin#examples#ecore2rdb#rdb.ecore', 'b-studios$henshin$plugins#org.eclipse.emf.henshin.examples#src#org#eclipse#emf#henshin#examples#wrap#mme#petri.ecore', 'b-studios$henshin$plugins#org.eclipse.emf.henshin.examples#src#org#eclipse#emf#henshin#examples#combpattern#grid.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.examples#src#org#eclipse#emf#henshin#examples#metamodelevolution#backup#petri.ecore', 'smee$amor$Test#de.modelrepository.test#res#in#T0002#java.ecore', 'mohrndorf$henshin$plugins#org.eclipse.emf.henshin.examples#src#org#eclipse#emf#henshin#examples#bank#bank.ecore', 'antmordel$TTC14eMotions$Metamodels#movies.ecore', 'mohrndorf$henshin$plugins#org.eclipse.emf.henshin.examples#src#org#eclipse#emf#henshin#examples#ecore2uml#flowchartdsl.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.tests#basic#testModelsCPA#injectiveMatchingOptionTest#simpleGraph.ecore', 'antmordel$TTC14eMotions$Metamodels#movies.ecore', 'mohrndorf$henshin$plugins#org.eclipse.emf.henshin.examples#src#org#eclipse#emf#henshin#examples#diningphils#diningphils.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.model#model#henshin.ecore', 'mohrndorf$henshin$plugins#org.eclipse.emf.henshin.examples#giraph#movies#movies.ecore', 'mohrndorf$henshin$plugins#org.eclipse.emf.henshin.examples#src#org#eclipse#emf#henshin#examples#probbroadcast#probbroadcast.ecore', 'b-studios$henshin$plugins#org.eclipse.emf.henshin.examples#src#org#eclipse#emf#henshin#examples#sierpinski#sierpinski.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.tests#basic#testModelsCPA#preventDuplicateReferencesTest#ClassModel.ecore', 'olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.trace#model#trace.ecore', 'mohrndorf$henshin$plugins#org.eclipse.emf.henshin.wrap#model#wrap.ecore', 'b-studios$henshin$plugins#org.eclipse.emf.henshin.examples#src#org#eclipse#emf#henshin#examples#sierpinski#sierpinski.ecore', 'b-studios$henshin$plugins#org.eclipse.emf.henshin.statespace#model#statespace.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.cpa#model#criticalPair.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.examples#src#org#eclipse#emf#henshin#examples#aggregation#family.ecore', 'mohrndorf$henshin$plugins#org.eclipse.emf.henshin.text#model#generated#Henshin_text.ecore', 'ujhelyiz$viatra-programunderstanding$metamodel#statemachine#models#StateMachine.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.tests#model#testmodel.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.examples#src#org#eclipse#emf#henshin#examples#mutualexclusion#mutualexclusion.ecore', 'alxbrd$henshin$plugins#org.eclipse.emf.henshin.tests#model#languagedefinition#uml.ecore']"
PraktischeInformatik/bpmnConverter,['PraktischeInformatik$bpmnConverter$BPMN2#BPMN20.ecore'],['bbrodt$bpmn2$org.eclipse.bpmn2#src#org#eclipse#bpmn2#impl#bpmn2.ecore']
3GF/era_dev,['3GF$era_dev$sys-src#era.foss.erf.exporter.m2m#model#rif_11.ecore'],['cpnatwork$era_origodump_dev$sys-src#era.foss.erf.exporter.m2m#model#rif_11.ecore']
viatra/incquery-examples-cps,"['viatra$incquery-examples-cps$domains#org.eclipse.viatra.examples.cps.model#model#model.ecore', 'viatra$incquery-examples-cps$domains#org.eclipse.viatra.examples.cps.deployment#model#deployment.ecore', 'viatra$incquery-examples-cps$domains#org.eclipse.viatra.examples.cps.traceability#model#traceability.ecore']","['lengyela89$sirius-incremental-refresh$host#examples#cps#org.eclipse.incquery.examples.cps.model#model#model.ecore', 'lengyela89$sirius-incremental-refresh$host#examples#cps#org.eclipse.incquery.examples.cps.deployment#model#deployment.ecore', 'viatra$incquery-examples-cps$domains#org.eclipse.viatra.examples.cps.traceability#model#traceability.ecore']"
dwagelaar/UML2CaseStudies,"['dwagelaar$UML2CaseStudies$uml2cs-transformations#metamodels#Ecore.ecore', 'dwagelaar$UML2CaseStudies$uml2cs-transformations#metamodels#UML.ecore', 'dwagelaar$UML2CaseStudies$uml2cs-instantmessenger-config-editor#metamodels#XML.ecore', 'dwagelaar$UML2CaseStudies$uml2cs-transformations#metamodels#XML.ecore']","['olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore', 'creckord$org.eclipse.uml2$plugins#org.eclipse.uml2.uml#src#org#eclipse#uml2#uml#internal#impl#uml.ecore', 'dwagelaar$UML2CaseStudies$uml2cs-transformations#metamodels#XML.ecore', 'dwagelaar$UML2CaseStudies$uml2cs-transformations#metamodels#XML.ecore']"
eclipse/gemoc-studio-moccml,"['eclipse$gemoc-studio-moccml$constraint#plugins#AS#org.eclipse.gemoc.moccml.constraint.ccslmocc.model#model#Ccslmocc.ecore', 'eclipse$gemoc-studio-moccml$constraint#plugins#AS#org.eclipse.gemoc.moccml.constraint.fsmkernel.model#model#FSMModel.ecore', 'eclipse$gemoc-studio-moccml$constraint#plugins#AS#org.eclipse.gemoc.moccml.constraint.fsmkernel.model#model#MetaDataExtension.ecore', 'eclipse$gemoc-studio-moccml$constraint#plugins#AS#org.eclipse.gemoc.moccml.constraint.fsmkernel.model#model#EditionExtension.ecore', 'eclipse$gemoc-studio-moccml$mapping#feedback#model#org.eclipse.gemoc.moccml.mapping.feedback.model#model#feedback.ecore']","['grammarware$sle16$bousse#framework-sources#concurrency#moccml#plugins#AS#org.gemoc.mocc.ccslmocc.model#model#Ccslmocc.ecore', 'grammarware$sle16$bousse#framework-sources#concurrency#moccml#plugins#AS#org.gemoc.mocc.fsmkernel.model#model#FSMModel.ecore', 'grammarware$sle16$bousse#framework-sources#concurrency#moccml#plugins#AS#org.gemoc.mocc.fsmkernel.model#model#MetaDataExtension.ecore', 'grammarware$sle16$bousse#framework-sources#concurrency#moccml#plugins#AS#org.gemoc.mocc.fsmkernel.model#model#EditionExtension.ecore', 'gemoc$concurrency$moccml#mapping#feedback#model#org.eclipse.gemoc.moccml.mapping.feedback.model#model#feedback.ecore']"
steindani/msc-thesis,['steindani$msc-thesis$src#include#figures#Ecore.ecore'],['olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore']
florianpirchner/osbp.historizedJPA,['florianpirchner$osbp.historizedJPA$.metadata#.plugins#org.eclipse.pde.core#Eclipse Application#org.eclipse.osgi#191#0#.cp#model#AcceleoWizardModel.ecore'],['maxmiller$pml$workspaceEMF#.metadata#.plugins#org.eclipse.pde.core#Eclipse Application#org.eclipse.osgi#bundles#2991#1#.cp#model#AcceleoWizardModel.ecore']
cloudbearings/pongo,"['cloudbearings$pongo$com.googlecode.pongo.tests#src-gen#com#googlecode#pongo#tests#blog#model#blog.ecore', 'cloudbearings$pongo$com.googlecode.pongo.tests#src-gen#com#googlecode#pongo#tests#ecore#model#ecore.ecore']","['cloudbearings$pongo$com.googlecode.pongo.tests#src-gen#com#googlecode#pongo#tests#blog#model#blog.ecore', 'olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore']"
hogoww/Master-S3,"['hogoww$Master-S3$metaprog#emf#tp.metaprogramming.memo#model#memo.ecore', 'hogoww$Master-S3$metaprog#emf2#org.eclipse.emf.ecore#model#XMLType.ecore', 'hogoww$Master-S3$IDM#tp1#model#tp1.ecore', 'hogoww$Master-S3$metaprog#emf2#org.eclipse.emf.ecore#model#XMLNamespace.ecore', 'hogoww$Master-S3$IDM#xtext#org.example.domainmodel#model#generated#Domainmodel.ecore', 'hogoww$Master-S3$metaprog#emf2#org.eclipse.emf.ecore#model#Ecore.ecore']","['hogoww$Master-S3$metaprog#emf#tp.metaprogramming.memo#model#memo.ecore', 'olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#XMLType.ecore', 'Doelia$M2-modeles$eclipse#1013f_TP2#model#maps.ecore', 'olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#XMLNamespace.ecore', 'rooneyp$Repo1$xtext#org.example.domainmodel#model#generated#Domainmodel.ecore', 'olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore']"
wrwei/SmartSAX,['wrwei$SmartSAX$model#JDTAST.ecore'],['jblomer$GrGen.NET$engine-net-2#examples#ProgramComprehension-GraBaTs09#JDTAST.ecore']
